trailingPE,averageDailyVolume10Day,bid,ask,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,navPrice,ytdReturn,beta3Year,fundInceptionDate,threeYearAverageReturn,fiveYearAverageReturn,quoteType,symbol,averageDailyVolume3Month,trailingThreeMonthReturns,epsTrailingTwelveMonths,netExpenseRatio,priceToBook,morningStarOverallRating,morningStarRiskRating,dividendRate
27.777557,3883450,334.48,334.47,236.42,339.06,330.123,303.3752,2.802,330.91,14.34394,1.04,974073600,0.23545931,0.1515289,ETF,VTI,4051753,8.23889,12.047855,0.03,2.3988934,,,
6.643895,673,6010.03,6150,4940,6254.29,6081.1606,5771.8403,2.802,330.91,,,974073600,,,ETF,VTI.MX,436,,922.653,0.03,43.940834,,,
20.737293,425490,209.14,209.19,146.68,216,208.9812,192.84515,1.767,211.86,11.24526,1.3,1009411200,0.1953679,0.1037714,ETF,VXF,407576,8.9101,10.096303,0.05,1.3366745,,,
20.879005,0,,,281.76,402.65,391.1974,360.9999,1.767,,11.25176,1.3,1009411200,,,MUTUALFUND,VEMPX,0,8.91318,18.902721,0.04,2.5196798,3,5,3.2585
20.87927,0,,,114.18,163.17,158.5318,146.2931,1.767,,11.24517,1.3,1009411200,,,MUTUALFUND,VEXAX,0,8.90654,7.660229,0.05,1.0211,3,5,1.307
20.87393,0,,,114.28,163.3,158.649,146.39645,1.767,,11.13187,1.3,1009411200,,,MUTUALFUND,VEXMX,0,8.87579,7.66698,0.19,1.0217384,3,5,1.1509
20.879278,0,,,114.17,163.16,158.5192,146.2821,1.767,,11.24713,1.3,1009411200,,,MUTUALFUND,VIEIX,0,8.90695,7.659747,0.05,1.0210361,3,5,1.3084
,0,,,72.26,103.84,100.8664,92.7682,,,11.2346,1.3,1315440000,,,MUTUALFUND,FSMAX,0,8.89799,,0.035,,3,5,0.44
,0,,,9.3,15.15,14.5628,12.59075,0,,11.37771,1.29,870307200,,,MUTUALFUND,BRSIX,0,17.56536,,0.75,,2,5,0.07969
16.117231,41590,154.76,155.19,95.25,161.95,152.3786,131.49625,,158.08937,15.61311,1.29,1123804800,0.16025351,0.11481109,ETF,IWC,45855,17.06915,9.605868,0.6,,,,
,,,,11.66,13.26,13.0946,12.63025,,,6.70482,0.78,1421107200,,,MUTUALFUND,0P0001AMSP,,3.81862,,,,3,3,
,0,,,9.35,10.75,10.6262,10.20705,0,,7.73931,0.43,1212105600,,,MUTUALFUND,GSRTX,0,4.13386,,0.85,,5,4,0.1035
,0,,,9.5,10.92,10.7964,10.3671,0,,7.82347,0.43,1212105600,,,MUTUALFUND,GSGPX,0,4.16667,,0.73,,4,4,0.1143
,,,,9.77,10.87,10.7424,10.48745,,,3.87222,,1421107200,,,MUTUALFUND,0P0001BI9F.SW,,2.77778,,,,0,0,
,0,,,8.71,9.98,9.8632,9.4876,0,,7.3224,0.42,1212105600,,,MUTUALFUND,GRRTX,0,4.02542,,1.35,,4,4,0.0639
,,,,12.46,14.25,14.0646,13.53,,,7.43865,0.78,1421107200,,,MUTUALFUND,0P0001AMSQ,,4.00891,,,,4,4,
,0,,,9.08,10.41,10.2954,9.89615,0,,7.55509,0.43,1212105600,,,MUTUALFUND,GARTX,0,4.06091,,1.1,,4,4,0.0773
,,,,12.92,14.73,14.5486,14.01695,,,7.0901,,1421107200,,,MUTUALFUND,0P0001653H.BE,,3.94265,,,,0,0,
,0,,,9.48,10.9,10.7782,10.3493,0,,7.8392,0.43,1212105600,,,MUTUALFUND,GARUX,0,4.17476,,0.73,,5,4,0.1147
,,,,10.11,11.5,11.363,10.9598,,,6.6918,,1421107200,,,MUTUALFUND,0P0001R95C.BE,,3.75802,,,,0,0,0.23828
,0,,,17.18,24,23.4338,21.45625,,,14.43299,1.04,1533168000,,,MUTUALFUND,FZROX,0,8.21727,,0,,3,4,0.236
,0,,,135.97,189.74,185.2348,169.6847,,,14.35865,1.04,1315440000,,,MUTUALFUND,FSKAX,0,8.21491,,0.015,,3,4,0.108
33.822987,450370,91.48,91.85,58.12,94.49,90.239,79.947,0.334,90.40068,17.77689,1.15,1064448000,0.3046774,0.1593009,ETF,ONEQ,278526,11.3866,2.7086608,0.21,1.7147055,,,
,0,,,193.84,305.23,292.2986,258.3363,,,17.92295,1.15,1064448000,,,MUTUALFUND,FNCMX,0,11.45693,,0.29,,4,4,1.482
,0,,,16.19,22.54,22.0028,20.16275,,,14.35192,1.04,1556236800,,,MUTUALFUND,FCFMX,0,8.20564,,0,,3,4,0.033
,,9.0532,9.4382,9.2188,9.285,,,,,,,,,,ETF,XQUA.BE,,,,,,,,
16.168327,290,20.28,36.99,21.269,29.71,28.11342,26.467295,,28.284,3.20709,0,1705968000,,,ETF,QSML,568,7.53878,1.7648454,0.38,,,,
14.733553,18690,49.2,49.28,40.14,56.53,49.2456,47.7944,,50.081,-0.29396,1.27,1374710400,0.1294772,0.1119077,ETF,DGRS,24615,7.93085,3.339174,0.38,,,,
15.28417,13470,56.2,56.34,41.92,58.55,55.1954,52.00675,,55.326,4.54506,1.28,1172188800,0.1225922,0.1287784,ETF,EES,17379,9.60061,3.6823916,0.38,,,,
15.674902,128200,33.28,33.82,27.41,37.5,33.199,32.39615,,33.504,0.18733,1.13,1150416000,0.1070539,0.113295205,ETF,DES,121106,6.74684,2.1403642,0.38,,,,
18.905231,56531490,245.34,245.35,171.73,252.77,243.1502,220.46585,2.017,248.2024,10.31811,1.3,958953600,0.1514338,0.1042047,ETF,IWM,41906933,12.36471,12.99217,0.19,1.1231217,,,
3.4704857,1548,4300,4640,3588.25,4933,4477.9146,4188.891,2.017,248.2024,,,958953600,,,ETF,IWM.MX,492,,1303.852,0.19,20.691011,,,
3.7872846,68828,0,0,161.7012,247.43,198.26973,187.15543,2.017,,,,,,,ETF,0JGN.L,137872,,65.221,,1.12948,,,
,0,,,23.27,33.53,32.557,29.4396,0,,,,,,,MUTUALFUND,CIETX,0,,,,,,,
,0,,,23.27,33.53,32.557,29.4396,0,,,,,,,MUTUALFUND,IRNAX,0,,,,,,,
,0,,,24.01,34.64,33.641,30.3969,0,,,,,,,MUTUALFUND,IRNEX,0,,,,,,,
,0,,,21.2,30.42,29.5374,26.76455,0,,,,,,,MUTUALFUND,IRNCX,0,,,,,,,
,0,,,21.94,31.65,30.7438,27.7721,,,10.47688,1.3,1315440000,,,MUTUALFUND,FSSNX,0,12.42647,,0.025,,3,4,0.284
2.1788468,1364,0,0,209.62,321.2165,252.3935,241.84517,1.176,,,,,,,ETF,0JGK.L,772,,147.425,,1.070076,,,
26.201498,466140,321.62,325.55,219.19,337.26,322.681,289.33594,1.176,330.3141,11.57505,1.35,964396800,0.17289379,0.0768047,ETF,IWO,415677,12.18301,12.30006,0.24,1.0736189,,,
24.59386,2776730,165.42,176.45,107.43,174.4,155.829,136.62814,0.35,156.49097,9.38706,1.02,981331200,0.102838404,0.0303021,ETF,IBB,2255431,14.13296,6.9167666,0.44,1.0524004,,,
5.76672,390,3056,0,2300.5,3196,2876.5847,2599.3035,0.35,156.49097,,,981331200,,,ETF,IBB.MX,241,,549.81,0.44,19.615194,,,
,0,,,11.28,12.16,12.0876,11.83285,,,7.91426,0.44,1446422400,,,MUTUALFUND,TDIFX,0,2.9064,,0.18,,3,1,0.2767
18.648294,2252360,99.18,99.44,69.38,102.16,98.315,89.14545,0,100.33,10.4467,1.3,1284940800,0.153459,0.1059278,ETF,VTWO,2491455,12.42772,5.32542,0.07,,,,
,9,0,0,82.99,1980,1810.671,1675.5939,0,100.33,,,1284940800,,,ETF,VTWO.MX,4,,,0.07,,,,
,,84.64,86.36,85.31,86.75,,,,,,,,,,ETF,025Q.BE,,,,,,,,
18.869158,0,,,270.08,387.1,376.099,341.0613,0,,10.4522,1.3,1284940800,,,MUTUALFUND,VRTIX,0,12.43173,20.377699,0.07,,3,4,3.2219
18.14327,747080,65.69,72.34,51.45,70.97,68.109,64.1948,0,68.6786,5.91161,1.23,913680000,0.1356874,0.1288387,ETF,DFAS,537530,7.71522,3.8289678,0.27,,,,
,0,,,21.27,30.8,29.9858,27.08235,,,12.04325,1.23,1126742400,,,MUTUALFUND,QLSCX,0,13.69656,,0.88,,4,5,0.0962
17.768517,7740,26.57,44.91,20.35,30.65,29.5019,26.56914,0,29.71,13.33333,0,1722297600,,,ETF,FSCC,23649,13.63811,1.6792567,0.36,,,,
,0,,,21.26,30.78,29.9694,27.06935,,,12.01044,1.23,1126742400,,,MUTUALFUND,QISCX,0,13.70693,,0.89,,4,5,0.0938
,0,,,20.27,29.3,28.5338,25.7911,,,11.8061,1.23,1126742400,,,MUTUALFUND,QASCX,0,13.62733,,1.14,,4,5,0.0315
,0,,,16.61,23.9,23.2738,21.0845,,,11.14286,1.23,1126742400,,,MUTUALFUND,QCSCX,0,13.41108,,2,,3,5,0.46891
2.8466287,235,0,0,1903.46,2534,2183.0598,2111.565,1.267,119.49049,,,958953600,,,ETF,IJR.MX,132,,775.679,0.06,20.217646,,,
19.190012,6924690,118.91,121.23,89.22,127.19,118.2424,111.09575,1.267,119.49049,4.21709,1.26,958953600,0.1169835,0.113351606,ETF,IJR,5091958,9.09368,6.2647176,0.06,1.1007646,,,
3.1327994,1756,0,0,87.77,120.57,105.7892,100.02491,1.267,,,,,,,ETF,0JH3.L,4921,,38.464,,1.1033283,,,
20.760517,944500,256.83,256.86,190.27,261.24,254.0388,238.8802,2.557,256.67,6.8919,1.24,974073600,0.1549086,0.1095604,ETF,VB,710147,7.55673,12.37397,0.05,1.8241919,,,
20.89984,0,,,92.86,124.77,121.7236,114.45385,2.557,,6.89476,1.24,974073600,,,MUTUALFUND,VSMAX,0,7.56678,5.929711,0.05,0.8800346,4,3,1.2033
,,219.6,222.8,220.2,223.2,,,,,,,,,,ETF,0V1T.BE,,,,,,,,
20.901554,0,,,92.85,124.76,121.7204,114.45065,2.557,,6.90324,1.24,974073600,,,MUTUALFUND,VSCIX,0,7.56041,5.929224,0.04,0.8800346,4,3,1.2118
4.6838665,11,4504,0,4061.92,5320,4664.1123,4532.994,2.557,256.67,,,974073600,,,ETF,VB.MX,16144,,1007.928,0.05,33.524113,,,
20.896496,0,,,92.85,124.73,121.7048,114.4326,2.557,,6.79415,1.24,974073600,,,MUTUALFUND,NAESX,0,7.52563,5.929224,0.17,0.8798216,4,3,1.0948
20.901672,0,,,268.01,360.12,351.3318,330.3492,2.557,,6.91017,1.24,974073600,,,MUTUALFUND,VSCPX,0,7.56694,17.113941,0.03,2.5401208,4,3,3.5235
17.738684,0,,,69.98,92.58,89.0896,84.70515,3.131,,6.92216,1.18,1075075200,,,MUTUALFUND,VSIAX,0,7.47084,5.124394,0.07,0.91901726,4,2,1.324
,,180.2,182.84,180.38,182.84,,,,,,,,,,ETF,025F.BE,,,,,,,,
9.5289135,25,3511,3876,3614.75,4130,3848.015,3794.253,3.131,208.44,,,1075075200,,,ETF,VBR.MX,35,,406.762,0.07,39.187138,,,
17.683426,343230,210.7,212.53,160.23,216.46,207.3308,197.13885,3.131,208.44,6.91351,1.18,1075075200,0.1431359,0.1424902,ETF,VBR,316311,7.46689,11.925291,0.07,2.1320393,,,
17.735985,0,,,39.06,51.66,49.7208,47.27205,3.131,,6.82021,1.18,1075075200,,,MUTUALFUND,VISVX,0,7.43571,2.8602865,0.19,0.51289046,4,2,0.6943
17.739141,0,,,39.11,51.75,49.7968,47.34595,3.131,,6.92083,1.18,1075075200,,,MUTUALFUND,VSIIX,0,7.48372,2.8642876,0.06,0.5136993,4,2,0.7435
,0,,,17.25,21.5,19.5522,19.69395,,,0.3006,1.16,1520380800,,,MUTUALFUND,VKSAX,0,0.55249,,1.25,,3,2,
,0,,,17.55,21.86,19.9262,20.05515,,,0.49261,1.16,1520380800,,,MUTUALFUND,VKSIX,0,0.59172,,0.99,,3,2,0.00148
,0,,,16.35,20.43,18.4512,18.62695,,,-0.26385,1.16,1520380800,,,MUTUALFUND,VKSCX,0,0.31847,,2.01,,3,2,
,0,,,17.64,21.96,20.0358,20.1596,,,0.53922,1.16,1520380800,,,MUTUALFUND,VKSRX,0,0.63788,,0.9,,3,2,0.00529
,0,,,16.94,24.27,21.805,20.6732,0,,4.00966,1.15,1246838400,,,MUTUALFUND,JGMCX,0,3.41018,,1.76,,3,2,0.02931
,0,,,21.44,30.08,27.702,26.20475,0,,4.63069,1.15,1246838400,,,MUTUALFUND,JATTX,0,3.59985,,0.91,,3,2,0.01773
,0,,,22.59,31.56,29.2274,27.628,0,,4.79651,1.15,1246838400,,,MUTUALFUND,JGMNX,0,3.66643,,0.66,,3,2,0.05742
,0,,,22.24,31.11,28.7588,27.19415,0,,4.72325,1.15,1246838400,,,MUTUALFUND,JSMGX,0,3.61446,,0.77,,3,2,0.0406
,0,,,18.92,26.83,24.3828,23.09755,0,,4.19913,1.15,1246838400,,,MUTUALFUND,JGMRX,0,3.48237,,1.41,,3,2,0.02931
,0,,,20.07,28.32,25.901,24.5182,0,,4.40996,1.15,1246838400,,,MUTUALFUND,JGMIX,0,3.5642,,1.16,,3,2,0.02032
,0,,,21.93,30.71,28.3602,26.8181,0,,4.7138,1.15,1246838400,,,MUTUALFUND,JANIX,0,3.62829,,0.79,,3,2,0.03348
,0,,,20.48,28.84,26.4324,25.0181,0,,4.44355,1.15,1246838400,,,MUTUALFUND,JGMAX,0,3.53175,,1.3,,3,2,0.01466
14.226048,0,,,34.14,53.21,44.5814,42.1031,,,5.88783,1.25,1269907200,,,MUTUALFUND,VEVFX,0,9.13888,3.1660233,0.49,,4,4,0.7712
19.936094,0,,,91.7,132.4,121.04,113.397,0,,5.17616,1.22,1005523200,,,MUTUALFUND,VEXPX,0,6.57616,6.229906,0.44,,4,2,0.4868
19.952135,0,,,85.27,123.21,112.6126,105.4693,0,,5.25971,1.22,1005523200,,,MUTUALFUND,VEXRX,0,6.59653,5.791861,0.33,,4,2,0.5843
,0,,,24.3,33.4,30.98,29.50295,,,2.53373,1.23,1122854400,,,MUTUALFUND,DCCIX,0,6.49351,,0.81,,3,3,0.18247
,0,,,19.54,26.83,24.7764,23.663,,,1.79592,1.23,1122854400,,,MUTUALFUND,DCCCX,0,6.26331,,1.81,,2,3,
,0,,,24.34,33.47,31.04,29.5511,,,2.62985,1.23,1122854400,,,MUTUALFUND,DCZRX,0,6.5529,,0.68,,3,3,0.21645
,0,,,22.41,30.73,28.4884,27.1692,,,2.17391,1.23,1122854400,,,MUTUALFUND,DCCRX,0,6.38219,,1.31,,2,3,0.03775
,0,,,23.56,32.35,29.9912,28.58165,,,2.37449,1.23,1122854400,,,MUTUALFUND,DCCAX,0,6.49259,,1.06,,3,3,0.12221
,0,,,18.12,25.54,24.7174,22.766,,,18.663,0.98,1210291200,,,MUTUALFUND,FCNTX,0,6.12945,,0.63,,5,2,0.017
,0,0,0,0,38.42,37.115,34.0251,,,19.7657,0.99,1495670400,,,MUTUALFUND,FLCNX,0,6.47194,,0.45,,5,2,0.111
,0,,,18.19,25.65,24.8162,22.85285,,,18.69591,0.98,1210291200,,,MUTUALFUND,FCNKX,0,6.10589,,0.56,,5,2,0.04
8.489301,0,0,0,32.145,46.93,42.1034,38.45695,0.24,,,,,,,ETF,SSGE.HM,0,,5.514,,0.8998982,,,
17.82293,52560,53.7,53.79,35.22,54.9,49.2762,44.248,0.24,49.10287,12.38689,0.91,1150675200,0.08506951,0.0265874,ETF,XPH,58780,18.6591,3.0174613,0.35,1.0338928,,,
,,0,0,46.795,46.795,,,,,,,,,,ETF,SSGE.HA,,,,,,,,
,,,,17.25,22.51,22.0114,20.70475,,,16.64876,1.18,1711584000,,,MUTUALFUND,0P0001P4DS.F,,4.82625,,,,5,5,
,,,,18.17,24.31,23.6512,21.8237,,,23.09725,1.17,1711584000,,,MUTUALFUND,0P0001I8N3.L,,6.63919,,,,5,5,
,,,,11.92,16.15,15.7324,14.67025,,,27.90887,,1711584000,,,MUTUALFUND,0P0001PI32.SW,,3.35306,,,,0,0,
,,,,182.39,244.23,237.5694,219.12215,,,23.20535,1.17,1711584000,,,MUTUALFUND,0P0001I8N9.L,,6.68096,,,,5,5,
,,,,17.28,23.91,23.3372,21.51535,,,31.33823,,1711584000,,,MUTUALFUND,0P0001I8N4.L,,4.44544,,,,0,0,
,0,,,29.58,43.75,42.3416,38.53795,,,14.59298,1.23,760838400,,,MUTUALFUND,MFCAX,0,6.66498,,1.45,,4,3,0.0883
17.164112,,,,18.02,24.88,24.2702,22.4032,,,31.30765,1.18,1711584000,,,MUTUALFUND,0P0001I8MX,,4.2205,1.4169099,,,5,5,
,,,,193.94,253.21,247.6366,232.99525,,,16.74152,1.17,1711584000,,,MUTUALFUND,0P0001I8N7.F,,4.86245,,,,5,5,
17.192265,,,,19.03,26.46,25.8236,23.7675,,,32.28792,1.18,1711584000,,,MUTUALFUND,0P0001I8N2,,4.50853,1.5064914,,,5,5,
17.145964,,,,17.26,23.75,23.159,21.4234,,,30.50847,1.18,1711584000,,,MUTUALFUND,0P0001I8N0,,4.0072,1.352505,,,5,5,
