industry,beta,debtToEquity,effectiveTaxRate,unleveredBeta,cashToFirmValue,unleveredBetaCashCorrected,hiloRisk,stdevEquity,stdevOperatingIncome,,,,,
advertising-agencies,1.34,0.262,0.0767,1.119933138,0.0656,1.2,0.6098,0.6719,0.121,0.77,1.10182469,1.345892669,1.18,1.119543472
aerospace-defense,0.9,0.2279,0.1102,0.768623097,0.0387,0.8,0.4341,0.4274,0.2392,0.91,1.110412672,1.229296209,0.93,0.995941776
agricultural-inputs,0.98,0.5333,0.0889,0.7000125,0.0411,0.73,0.5104,0.6959,0.5076,0.68,0.847865207,0.931049707,0.77,0.791782983
airlines,1.24,1.0683,0.1015,0.688420381,0.1028,0.76,0.5255,0.6527,2.0402,0.91,0.914138228,0.693998003,0.64,0.783627246
airports-air-services,1.24,1.0683,0.1015,0.688420381,0.1028,0.76,0.5255,0.6527,2.0402,0.91,0.914138228,0.693998003,0.64,0.783627246
aluminum,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355,0.82,1.127997214,1.219190697,0.91,1.007437582
apparel-manufacturing,0.99,0.4589,0.0808,0.736511243,0.1086,0.83,0.4841,0.5093,0.2449,0.94,1.098346043,1.016379743,0.93,0.962945157
apparel-retail,0.99,0.4589,0.0808,0.736511243,0.1086,0.83,0.4841,0.5093,0.2449,0.94,1.098346043,1.016379743,0.93,0.962945157
asset-management,0.57,0.3504,0.0619,0.45137789,0.1006,0.5,0.2668,0.2294,0.1998,0.78,0.965117605,0.537753086,0.39,0.634574138
auto-manufacturers,1.62,0.224,0.0211,1.386986301,0.0351,1.43,0.6646,0.7759,0.4693,1.05,1.020765804,1.225531834,1.3,1.205259528
auto-parts,1.23,0.4783,0.1277,0.905260446,0.0861,0.99,0.3843,0.5262,0.2056,1.09,1.212594355,1.202436458,1.12,1.123006163
auto-truck-dealerships,1.62,0.224,0.0211,1.386986301,0.0351,1.43,0.6646,0.7759,0.4693,1.05,1.020765804,1.225531834,1.3,1.205259528
banks-diversified,0.88,1.8319,0.181,0.370694104,0.2977,0.53,0.2337,0.3047,NA,0.59,1.032514746,0.739341431,0.64,0.706371235
banks-regional,0.52,0.6032,0.1684,0.358028091,0.2475,0.48,0.2078,0.2996,2.6519,0.6,0.841273892,0.412980638,0.33,0.532850906
beverages-brewers,0.61,0.3047,0.0828,0.496530392,0.0186,0.51,0.5509,0.6308,0.2167,0.67,0.720524812,0.880782292,0.97,0.750261421
beverages-non-alcoholic,0.57,0.1973,0.0694,0.496526492,0.0357,0.51,0.6427,0.4767,0.1538,,,,,
beverages-wineries-distilleries,0.61,0.3047,0.0828,0.496530392,0.0186,0.51,0.5509,0.6308,0.2167,0.67,0.720524812,0.880782292,0.97,0.750261421
biotechnology,1.25,0.1709,0.0105,1.107984134,0.0507,1.17,0.6315,0.8683,0.3935,,,,,
broadcasting,0.92,1.4956,0.1074,0.433614554,0.0947,0.48,0.539,0.526,0.2823,0.65,0.811272124,0.702159959,0.5,0.628686417
building-materials,1.36,0.1897,0.1911,1.190606465,0.0357,1.23,0.3033,0.3475,0.4633,0.97,1.087149923,1.09835926,1.21,1.119101837
building-products-equipment,1.79,0.2019,0.1366,1.554595393,0.0111,1.57,0.3394,0.5213,0.3229,1.43,1.418963248,1.567041962,1.7,1.537201042
business-equipment-supplies,1.2,0.4651,0.1345,0.889663225,0.0765,0.96,0.3777,0.4989,0.171,0.83,1.111467824,0.844837075,0.88,0.92526098
capital-markets,,,,,,,,,,,,,,
chemicals,0.99,1.1312,0,0.535598355,0.0734,0.58,0.2709,0.4697,0.3849,1.03,1.207910113,1.090256565,0.81,0.943633336
coking-coal,1.18,0.0947,0.0277,1.101748325,0.1287,1.27,0.4805,0.5378,2.4543,0.56,0.819710873,1.428914588,1.24,1.063725092
communication-equipment,1,0.128,0.0435,0.912408759,0.0383,0.95,0.5385,0.5609,0.1258,0.83,1.05686348,1.178489577,1.05,1.013070611
computer-hardware,1.14,0.0482,0.0899,1.100226801,0.0142,1.12,0.4501,0.5262,0.2918,1.14,1.248770894,1.227042372,1.1,1.167162653
confectioners,0.47,0.3652,0.1012,0.368945757,0.0274,0.38,0.4525,0.4627,0.1004,0.53,0.632413846,0.768672676,0.5,0.562217304
conglomerates,,,,,,,,,,,,,,
consulting-services,1,0.1678,0.1248,0.888217791,0.0327,0.92,0.4832,0.4539,0.2612,0.83,0.986113148,1.019868773,0.93,0.937196384
consumer-electronics,1.06,0.1442,0.0659,0.956549204,0.0557,1.01,0.5014,0.6161,0.2637,0.86,1.051017268,1.116163261,0.88,0.983436106
copper,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355,0.82,1.127997214,1.219190697,0.91,1.007437582
credit-services,,,,,,,,,,,,,,
department-stores,1.06,0.0873,0.1675,0.994861447,0.0283,1.03,0.3721,0.4669,0.2581,0.81,1.03835631,1.220100297,1.17,1.053691322
diagnostics-research,,,,,,,,,,,,,,
discount-stores,,,,,,,,,,,,,,
drug-manufacturers-general,1.06,0.0873,0.1675,0.994861447,0.0283,1.03,0.3721,0.4669,0.2581,0.81,1.03835631,1.220100297,1.17,1.053691322
drug-manufacturers-specialty-generic,1.07,0.1689,0.0258,0.949697118,0.0308,0.98,0.6501,0.8005,0.2533,0.84,1.009823574,1.180806095,0.94,0.990125934
education-training-services,0.98,0.1944,0.1189,0.855297609,0.0695,0.92,0.5231,0.5582,0.1592,1.07,1.103316908,0.99371608,1.15,1.047406598
electrical-equipment-parts,1.27,0.1484,0.0514,1.142805723,0.0487,1.2,0.6052,0.7212,0.1535,1,1.19432733,1.43265488,1.15,1.195396442
electronic-components,1.06,0.1442,0.0659,0.956549204,0.0557,1.01,0.5014,0.6161,0.2637,0.86,1.051017268,1.116163261,0.88,0.983436106
electronic-gaming-multimedia,1.18,0.0249,0.0673,1.158367487,0.0188,1.18,0.5913,0.6663,0.589,0.96,1.207549883,1.35788021,1.11,1.163086019
electronics-computer-distribution,1.06,0.1442,0.0659,0.956549204,0.0557,1.01,0.5014,0.6161,0.2637,0.86,1.051017268,1.116163261,0.88,0.983436106
engineering-construction,0.99,0.1792,0.1471,0.872708039,0.0505,0.92,0.4576,0.4733,0.2796,0.95,0.973962525,1.017624672,0.84,0.940317439
entertainment,1.04,0.2034,0.0206,0.90234697,0.0367,0.94,0.6256,0.627,0.3041,0.84,0.964248476,1.246222408,0.87,0.972094177
farm-heavy-construction-machinery,,,,,,,,,,,,,,
