industry,beta,debtToEquity,effectiveTaxRate,unleveredBeta,cashToFirmValue,unleveredBetaCashCorrected,hiloRisk,stdevEquity,stdevOperatingIncome
advertising-agencies,1.34,0.262,0.0767,1.119933138,0.0656,1.2,0.6098,0.6719,0.121
aerospace-defense,0.9,0.2279,0.1102,0.768623097,0.0387,0.8,0.4341,0.4274,0.2392
agricultural-inputs,0.98,0.5333,0.0889,0.7000125,0.0411,0.73,0.5104,0.6959,0.5076
airlines,1.24,1.0683,0.1015,0.688420381,0.1028,0.76,0.5255,0.6527,2.0402
airports-air-services,1.24,1.0683,0.1015,0.688420381,0.1028,0.76,0.5255,0.6527,2.0402
aluminum,1.02,0.1676,0.018,0.906102869,0.0556,0.96,0.6103,0.7237,0.5355
apparel-manufacturing,0.99,0.4589,0.0808,0.736511243,0.1086,0.83,0.4841,0.5093,0.2449
apparel-retail,0.99,0.4589,0.0808,0.736511243,0.1086,0.83,0.4841,0.5093,0.2449
asset-management,0.57,0.3504,0.0619,0.45137789,0.1006,0.5,0.2668,0.2294,0.1998
auto-manufacturers,1.62,0.224,0.0211,1.386986301,0.0351,1.43,0.6646,0.7759,0.4693
auto-parts,1.23,0.4783,0.1277,0.905260446,0.0861,0.99,0.3843,0.5262,0.2056
auto-truck-dealerships,1.62,0.224,0.0211,1.386986301,0.0351,1.43,0.6646,0.7759,0.4693
banks-diversified,0.88,1.8319,0.181,0.370694104,0.2977,0.53,0.2337,0.3047,
banks-regional,0.52,0.6032,0.1684,0.358028091,0.2475,0.48,0.2078,0.2996,2.6519
beverages-brewers,0.61,0.3047,0.0828,0.496530392,0.0186,0.51,0.5509,0.6308,0.2167
beverages-non-alcoholic,0.57,0.1973,0.0694,0.496526492,0.0357,0.51,0.6427,0.4767,0.1538
beverages-wineries-distilleries,0.61,0.3047,0.0828,0.496530392,0.0186,0.51,0.5509,0.6308,0.2167
biotechnology,1.25,0.1709,0.0105,1.107984134,0.0507,1.17,0.6315,0.8683,0.3935
broadcasting,0.92,1.4956,0.1074,0.433614554,0.0947,0.48,0.539,0.526,0.2823
building-materials,1.36,0.1897,0.1911,1.190606465,0.0357,1.23,0.3033,0.3475,0.4633
building-products-equipment,1.79,0.2019,0.1366,1.554595393,0.0111,1.57,0.3394,0.5213,0.3229
business-equipment-supplies,1.2,0.4651,0.1345,0.889663225,0.0765,0.96,0.3777,0.4989,0.171
capital-markets,,,,,,,,,
chemicals,0.99,1.1312,0,0.535598355,0.0734,0.58,0.2709,0.4697,0.3849
coking-coal,1.18,0.0947,0.0277,1.101748325,0.1287,1.27,0.4805,0.5378,2.4543
communication-equipment,1,0.128,0.0435,0.912408759,0.0383,0.95,0.5385,0.5609,0.1258
