fullTimeEmployees,payoutRatio,beta,forwardPE,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,profitMargins,sharesOutstanding,shortRatio,bookValue,trailingEps,forwardEps,enterpriseToEbitda,currentPrice,targetHighPrice,targetLowPrice,revenuePerShare,revenueGrowth,ebitdaMargins,symbol,epsTrailingTwelveMonths,epsForward,priceToBook,debtToEquity,dividendRate,trailingPE
1000,0,1.01,3.3125002,27279780,1.29,2.06,48317932,0.38,8.72,1.2252,2.4123,-0.68351996,30388635,18.37,-1.34,-2.42,0.48,-3.295,1.59,3.7,3.7,3.489,-0.733,-0.29924,ZYXI,-2.42,0.48,-1.1865672,,,
263,0,1.307,-16.267859,2824570,27.27,27.44,2069848064,9.03,28.49,18.8074,14.384825,-0.47164002,74836534,8.4,4.26,-0.85,-1.68,-29.722,27.33,42,25,1.788,0.726,-0.45339,ZYME,-0.85,-1.68,6.4154925,5.906,,
2500,0.33029997,0.827,35.91791,781440,47.21,0,8064302592,27.74,50.03,46.7486,39.73375,0.11589,167350818,6.29,9.503,1.09,1.34,22.881,48.13,54,45,9.797,0.111,0.2199,ZWS,1.09,1.34,5.0647163,34.848,0.38,44.155964
59,0,0.995,-22.051285,1499080,8.56,8.62,484158816,6.19,13.16,9.7735,9.071275,0.4186,56297535,4.8,2.369,0.47,-0.39,-14.704,8.6,26,18,1.546,6.054,-0.27995002,ZVRA,0.47,-0.39,3.630224,47.097,,18.297873
108,0,0.867,-11.652174,623130,0,0,180413696,1.88,4.99,2.4724,2.65835,-0.08825,64530000,1.58,0.761,-0.22,-0.23,-11.372,2.68,6,2.9,2.532,0.123,-0.07557,ZVIA,-0.22,-0.23,3.5216823,2.319,,
2400,0,0.872,32.037037,197700,25.85,26.02,445134080,11.31,26.05,21.4294,16.0393,0.00065,17153529,5.13,21.233,-0.06,0.81,18.408,25.95,18,18,50.204,0.046,0.03293,ZUMZ,-0.06,0.81,1.2221543,57.202,,
,,,,,,,,12345,12345,,,,,,,,,,,,,,,,ZTST,,,,,,
13800,0.32529998,0.962,20.140379,5104560,129,129.17,56590102528,115.25,181.85,136.5076,152.2828,0.28211,440693214,2.04,12.227,5.94,6.34,15.404,127.69,200,130,21.044,0.005,0.42471,ZTS,5.94,6.34,10.443281,135.05,2,21.496634
,,1.026,,309510,6.45,0,309923264,5.22,6.66,6.4742,6.1668,0.92882,47375600,,5.707,0.564,,,6.56,,,0.397,0.011,0,ZTR,0.564,,1.1494656,43,,11.631206
24477,0.4334,-0.177,10.64796,1720340,20.02,21.44,16616281088,16.34,22.01,19.0632,18.9625,0.18603,580770388,14.07,81.114,1.52,1.96,0.313,20.87,27.24758,18.471552,59.361,0.111,0.29490998,ZTO,1.52,1.96,0.2572922,18.914,0.65,13.730264
