symbol,related_tickers
ZYXI,"['ESSITY-B.ST' 'CLSK' 'NVDA' 'BITF' 'ASST' 'IBIT' 'XRAY' 'SOFI' 'AAL'
 'PLUG' 'ZYXI' 'CIFR' '^IXIC' 'BYND' 'ONDS' 'INHD' 'KTTA' 'OPEN']"
ZYME,['JAZZ' 'ZYME']
ZWS,"['ZGSB.TO' 'ZWB.TO' 'ZGLD.TO' 'ZCDB.TO' 'ZHU.TO' 'ZMID-U.TO' 'ZJPN.TO'
 'ZJG.TO' 'ZEB.TO' 'ZPS.TO' 'GRNI.TO' 'ZJK-U.TO' 'ZDY.TO' 'STX' 'ZLU.TO'
 'BMLWF' 'ZWGD.TO' 'ZBAL.TO' '0P0001H9RD.TO' 'ZGRN.TO' 'ZBBB.TO'
 '0P0001P1S8.TO' '0P0001OBR5.TO' 'ZFM.TO' 'ZLB.TO' 'ZEM.TO' 'ZLD.TO'
 'ZCM.TO' 'ZSDB.TO' 'ZWS.TO' '0P00014EDH.TO' 'ZST-L.TO' 'ZMI-U.TO'
 'ZSP.TO' 'ZAAA-U.NE' 'ZEA.TO' 'ZPW-U.TO' '0P0001OBR8.TO' 'ZEAT.TO'
 'ZGLH.TO' '0P0001OBRA.TO' 'ZUCM-U.TO' 'ESGG.TO' 'ZPAY-U.TO' 'ZWCCF' 'WMS'
 'ESGF.TO' 'ZLC.TO' 'ZST.TO' 'ZWU.TO' 'ESGY.TO' 'COMM.TO' 'BLDR'
 'ZUQ-F.TO' '0P0001OBRD.TO' 'ZWHC.TO' 'ZLSC.TO' 'ZCON.TO' 'ZUSFF' 'ZHP.TO'
 'ZCLN.TO' 'ZGLD-U.TO' 'ZESG.TO' '0P000072XD.TO' 'ZGD.TO' '0P0001OBR7.TO'
 '0P0001OBR9.TO' 'TOWR.TO' 'ZDV.TO' 'ZMI.TO' '0P0001P1S6.TO' 'ZDI.TO'
 '0P0001P1RW.TO' 'ZUE.TO' 'ZLH.TO' 'ZMBS.TO' 'ZSML-F.TO' 'ZWK.TO' 'ZIN.TO'
 'ZFH.TO' 'ZWT.TO' 'ZMMK.TO' 'ZUQ.TO' 'ZFS-L.TO' 'ZGI.TO' '0P0001P1S7.TO'
 'ZIQ.TO' 'ZCPB.TO' 'ZCB.TO' 'ZSML.TO' 'ZFL.TO' 'ZBK.TO' 'ZBI.TO' 'ZWP.TO'
 'XYL' 'ZIC-U.TO' 'ZLI.TO' '0P0001H9TR.TO' 'ZPR.TO' 'ZMID.TO' 'ZUCM.TO'
 'ZHY.TO' 'ZLU-U.TO' 'ZPL.TO' 'ZEO.TO' 'BMO' 'ZIC.TO' 'DISC.TO' 'ZUB.TO'
 'STPL.TO' '0P0001OBRB.TO' 'ZDJ.TO' 'ZCS.TO' 'ZWG.TO' 'ZGB.TO' 'ZEQT.TO'
 '0P00014EDG.TO' 'ZWE.TO' 'ZRR.TO' 'ZIU.TO' 'BZWHF' 'BZSPF'
 '0P0001P1RV.TO' 'ESGY-F.TO' 'ZSB.TO' 'ZWQT.TO' 'ZAAA-F.NE' 'RSG'
 'ZDY-U.TO' '0P0001CP89.TO' 'ZJPN-F.TO' 'ZPAY.TO' 'ZQQ.TO' 'ZSU.TO'
 'ZWH.TO' 'ZDB.TO' 'ZMT.TO' 'ZVU.TO' 'ZWH-U.TO' 'ZEF.TO' 'ZWB-U.TO'
 'ZQB.TO' 'ZPAY-F.TO' 'ZRE.TO' 'ZCS-L.TO' '0P0000IMBH.TO' 'ZBAL-T.TO'
 'ZWS' 'ZUT.TO' 'ZLE.TO' '0P0001P1SL.TO' 'ZFS.TO' '0P0001OBRE.TO'
 '0P0000IMBO.TO' 'ZAAA.NE' 'ZMU.TO' 'ZID.TO' '0P0001OBRC.TO' 'ZUAG-F.TO'
 'ZPW.TO' 'ZSP-U.TO' 'ZUP-U.TO' 'ESGB.TO' 'ESGE.TO' 'ZNQ.TO'
 '0P0001P1SM.TO' 'ZLSU.TO' 'ZWA.TO' '0P00014EDI.TO' 'ZGRO.TO' 'ZNQ-U.TO'
 'ZWEN.TO' 'ZWC.TO' 'ZAG.TO' 'ZPH.TO' 'ZUQ-U.TO' 'ZCH.TO' 'ESGA.TO'
 'ZGQ.TO' '0P0001OBRG.TO' 'ZGRO-T.TO' 'ZUP.TO' '0P0001OBRF.TO' 'ZJK.TO'
 '0P0001P1S4.TO' 'ZDM.TO' '0P0001P1S3.TO' 'ZMP.TO' '0P0001OBR6.TO'
 'ZEQ.TO' '0P0001P1S5.TO' 'ZUAG.TO' 'ZUH.TO' 'ZDH.TO' 'ZUD.TO' 'ZCN.TO'
 'ZUAG-U.TO' 'ZVC.TO']"
ZVRA,['XOMA' 'EPIX' 'ZVRA' 'MURA' 'TSBX' 'XOMAP' 'XOMAO' 'LVTX']
ZVIA,['UPLD' '^SPX' 'WMT' 'BYND' 'PLTR' 'ZVIA' 'KHC' 'PRKS' 'ACVA' 'CELH' 'SAM']
ZUMZ,['BCO' 'ROST' '^SPX' 'FIVE' 'LULU' 'ZUMZ' 'CURV' 'CMI' 'AZO']
ZTST,['SAPMY' 'SAPMF' 'SPM.MI']
ZTS,['^DJI' 'MRK' 'PAHC' 'ZTS' 'OGN' 'SGRY' 'PFE']
ZTR,['ZTR']
ZTO,"['TSLA' '^SPX' 'VICI' 'NVDA' '2057.HK' 'AIZ' 'MDT' 'MU' 'F' 'TFII.TO'
 'TEL' 'ZTO' '^IXIC' 'ZTOEF' 'GLW' 'DAL' 'GM' 'HD' 'AMZN' 'TFII']"
