num_layers,conv_type,out_channels,learning_rate,num_val,final_val_auc,final_val_loss,epochs_trained
2,SAGE,16,0.0001,0.2,0.9174748697999493,0.3722149431705475,1111
2,SAGE,32,0.0001,0.2,0.9091823057588335,0.3956468403339386,671
2,SAGE,16,0.0001,0.3,0.90289524842372,0.4117066264152527,875
2,SAGE,32,0.0001,0.3,0.8984052043249882,0.42468497157096863,598
1,GAT,32,0.0001,0.3,0.8923629579477882,0.5068115592002869,1034
1,GAT,16,0.0001,0.3,0.8906763545379492,0.5063958168029785,1268
1,GAT,32,0.0001,0.2,0.8904402263593357,0.5013784766197205,1037
1,GAT,16,0.0001,0.2,0.8888517902262728,0.4946923553943634,1288
1,GAT,32,0.0001,0.4,0.8865133413292843,0.5294182300567627,981
2,GAT,32,0.0001,0.3,0.8855474984630796,0.44354984164237976,700
2,SAGE,16,0.0001,0.4,0.8844480156211234,0.4376136064529419,769
2,GAT,32,0.0001,0.4,0.884130214688271,0.43492022156715393,766
1,GAT,16,0.0001,0.4,0.8830080642226937,0.5258105993270874,1086
1,GCN,32,0.0001,0.3,0.8757952221157619,0.5439225435256958,1980
2,GAT,32,0.0001,0.2,0.8739446619596768,0.4444575905799866,782
1,SAGE,16,0.0001,0.2,0.872333941005103,0.516364336013794,2603
2,SAGE,32,0.0001,0.4,0.8715146294928618,0.4794679284095764,390
1,SAGE,32,0.0001,0.2,0.8712364595887063,0.5196402668952942,2832
1,SAGE,32,0.0001,0.3,0.8676930386207105,0.5417407751083374,2721
2,GAT,16,0.0001,0.4,0.8666991522190879,0.5120055675506592,732
1,SAGE,16,0.0001,0.3,0.8657500249708867,0.5318986177444458,2407
1,GCN,32,0.0001,0.2,0.8656889563567265,0.5509647130966187,2327
2,GAT,16,0.0001,0.3,0.8650735244476495,0.4679994285106659,839
1,GCN,32,0.0001,0.4,0.865042540387015,0.596366286277771,1526
1,GCN,16,0.0001,0.4,0.8593025312898752,0.5571479201316833,1436
1,GCN,16,0.0001,0.2,0.854266275735005,0.5405206680297852,2090
1,GCN,16,0.0001,0.3,0.8463819517939781,0.5486254096031189,1510
1,SAGE,16,0.0001,0.4,0.83252298019122,0.5979673266410828,1942
2,GAT,16,0.0001,0.2,0.8151051821154371,0.5128690600395203,853
1,SAGE,32,0.0001,0.4,0.785341803118959,0.6419847011566162,2116
2,GCN,32,0.0001,0.4,0.7603426635228654,378.3785705566406,21
2,GCN,16,0.0001,0.2,0.7294483978982986,465.75372314453125,176
2,GCN,32,0.0001,0.3,0.6753985193732193,784.8294677734375,42
2,GCN,16,0.0001,0.3,0.6557378741690663,1939.272705078125,23
2,GCN,32,0.0001,0.2,0.6057967216857529,1144.4539794921875,47
2,GCN,16,0.0001,0.4,0.5837743573979938,512.0767822265625,27
